START LOG
2022-11-06 20:31 [Data: checkLogin] 	 [사용자 정보] null
2022-11-06 20:31 [StudentList: checkStudent] 	 [사용자 정보] null
2022-11-06 20:31 [Data: sendServerStudentForLog] 	 [사용자 정보] 60201976
2022-11-06 20:31 [Data: getAllStudentData] 	 [사용자 정보] 60201976
2022-11-06 20:31 [StudentList: getAllStudentRecords] 	 [사용자 정보] 60201976
2022-11-06 20:31 [Data: getAllCourseList] 	 [사용자 정보] 60201976
2022-11-06 20:31 [CourseList: getAllCourseRecords] 	 [사용자 정보] 60201976
2022-11-06 20:31 [Data: checkLogin] 	 [사용자 정보] 60201976
2022-11-06 20:31 [StudentList: checkStudent] 	 [사용자 정보] 60201976
2022-11-06 20:31 [Data: sendServerStudentForLog] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: checkCourse] 	 [사용자 정보] 20130095
2022-11-06 20:32 [CourseList: checkCourseWithSID] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: addCourse] 	 [사용자 정보] 20130095
2022-11-06 20:32 [CourseList: addCourseRecords] 	 [사용자 정보] 20130095
2022-11-06 20:32 [CourseList: addCourseFile] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: checkStudent] 	 [사용자 정보] 20130095
2022-11-06 20:32 [StudentList: isRegisteredStudent] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: checkCourse] 	 [사용자 정보] 20130095
2022-11-06 20:32 [CourseList: checkCourseWithSID] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: checkStudent] 	 [사용자 정보] 20130095
2022-11-06 20:32 [StudentList: isRegisteredStudent] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: checkCourse] 	 [사용자 정보] 20130095
2022-11-06 20:32 [CourseList: checkCourseWithSID] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: checkReservation] 	 [사용자 정보] 20130095
2022-11-06 20:32 [ReservationList: isRegisteredStudent] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: addReservation] 	 [사용자 정보] 20130095
2022-11-06 20:32 [ReservationList: addReservationRecords] 	 [사용자 정보] 20130095
2022-11-06 20:32 [ReservationList: addReservationFile] 	 [사용자 정보] 20130095
2022-11-06 20:32 [Data: getAllReservationList] 	 [사용자 정보] 20130095
2022-11-06 20:32 [ReservationList: getAllReservation] 	 [사용자 정보] 20130095
2022-11-06 20:33 [Data: deleteReservation] 	 [사용자 정보] 20130095
2022-11-06 20:33 [ReservationList: deleteReservationRecords] 	 [사용자 정보] 20130095
2022-11-06 20:33 [Data: deleteReservation] 	 [사용자 정보] 20130095
2022-11-06 20:33 [ReservationList: deleteReservationRecords] 	 [사용자 정보] 20130095
