START LOG
2022-11-03 15:00 [showInitialView] 	 [사용자 정보] 사용자 정보 없음
2022-11-03 15:01 [login] 	 [사용자 정보] 20100123
2022-11-03 15:01 [showMenu] 	 [사용자 정보] 20100123
2022-11-03 15:01 [showData] 	 [사용자 정보] 20100123
2022-11-03 15:01 [showMenu] 	 [사용자 정보] 20100123
2022-11-03 15:01 [showData] 	 [사용자 정보] 20100123
2022-11-03 15:01 [showMenu] 	 [사용자 정보] 20100123
END LOG
START LOG
2022-11-03 15:35 [showInitialView] 	 [사용자 정보] 사용자 정보 없음
2022-11-03 15:35 [login] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showMenu] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showData] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showMenu] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showData] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showMenu] 	 [사용자 정보] 20100123
2022-11-03 15:35 [deleteCourse] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showMenu] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showData] 	 [사용자 정보] 20100123
2022-11-03 15:35 [showMenu] 	 [사용자 정보] 20100123
